Country,Total_cases,Total_deaths,Total_recovered,Total_tests,Cases/1m,Deaths/1m,Tests/1m
USA,"1,238,052","72,284","200,669","7,727,938","3,740",218,"23,347"
Spain,"250,561","25,613","154,718","1,932,455","5,359",548,"41,332"
Italy,"213,013","29,315","85,231","2,246,666","3,523",485,"37,158"
UK,"194,990","29,427",,"1,383,842","2,872",433,"20,385"
France,"170,551","25,531","52,736","1,100,228","2,613",391,"16,856"
Germany,"167,007","6,993","137,400","2,547,052","1,993",83,"30,400"
Russia,"165,929","1,537","21,327","4,633,731","1,137",11,"31,752"
Turkey,"129,491","3,520","73,285","1,204,421","1,535",42,"14,281"
Brazil,"115,953","7,958","48,221","339,552",546,37,"1,597"
Iran,"101,650","6,418","81,587","531,275","1,210",76,"6,325"
China,"82,883","4,633","77,911",,58,3,
Canada,"62,046","4,043","26,993","940,567","1,644",107,"24,921"
Peru,"51,189","1,444","15,413","406,579","1,553",44,"12,331"
Belgium,"50,781","8,339","12,731","474,176","4,382",720,"40,914"
India,"49,436","1,695","14,183","1,276,781",36,1,925
Netherlands,"41,087","5,168",,"235,909","2,398",302,"13,768"
Ecuador,"31,881","1,569","3,433","80,171","1,807",89,"4,544"
Saudi Arabia,"30,251",200,"5,431","376,607",869,6,"10,818"
Switzerland,"30,009","1,795","25,400","286,403","3,467",207,"33,092"
Mexico,"26,025","2,507","16,810","100,041",202,19,776
Portugal,"25,702","1,074","1,743","469,435","2,521",105,"46,038"
Sweden,"23,216","2,854","4,074","148,500","2,299",283,"14,704"
Pakistan,"22,550",526,"6,217","232,582",102,2,"1,053"
Chile,"22,016",275,"10,710","222,095","1,152",14,"11,618"
Ireland,"21,983","1,339","13,386","214,761","4,452",271,"43,493"
Singapore,"20,198",18,"1,519","143,919","3,452",3,"24,600"
Belarus,"19,255",112,"4,388","220,045","2,038",12,"23,287"
Qatar,"17,972",12,"2,070","112,963","6,238",4,"39,209"
Israel,"16,314",238,"10,527","423,125","1,885",27,"48,885"
Austria,"15,684",608,"13,639","292,254","1,741",68,"32,450"
Japan,"15,253",556,"4,496","186,343",121,4,"1,473"
UAE,"15,192",146,"3,153","1,200,000","1,536",15,"121,330"
Poland,"14,647",723,"4,655","394,270",387,19,"10,418"
Romania,"14,107",858,"5,788","217,139",733,45,"11,287"
Ukraine,"13,184",327,"2,097","144,283",301,7,"3,299"
Indonesia,"12,438",895,"2,317","121,547",45,3,444
Bangladesh,"11,719",186,"1,403","99,646",71,1,605
S. Korea,"10,806",255,"9,333","643,095",211,5,"12,543"
Philippines,"10,004",658,"1,506","140,134",91,6,"1,279"
Denmark,"9,938",503,"7,296","270,680","1,716",87,"46,732"
Serbia,"9,677",200,"1,723","111,278","1,108",23,"12,736"
Colombia,"8,613",378,"2,013","127,105",169,7,"2,498"
Dominican Republic,"8,480",354,"1,905","33,377",782,33,"3,077"
Norway,"7,955",215,32,"189,657","1,467",40,"34,984"
Czechia,"7,899",258,"4,017","278,519",738,24,"26,008"
South Africa,"7,572",148,"2,746","268,064",128,2,"4,520"
Panama,"7,523",210,823,"36,483","1,744",49,"8,455"
Egypt,"7,201",452,"1,730","90,000",70,4,879
Australia,"6,875",97,"5,984","688,656",270,4,"27,006"
Malaysia,"6,428",107,"4,702","222,150",199,3,"6,864"
Kuwait,"5,804",40,"2,032","196,397","1,359",9,"45,988"
Finland,"5,573",246,"3,500","108,112","1,006",44,"19,512"
Morocco,"5,382",182,"1,969","52,100",146,5,"1,412"
Argentina,"5,020",264,"1,472","69,718",111,6,"1,543"
Algeria,"4,838",470,"2,067","6,500",110,11,148
Moldova,"4,363",136,"1,544","20,447","1,082",34,"5,069"
Kazakhstan,"4,298",29,"1,299","336,480",229,2,"17,920"
Luxembourg,"3,840",96,"3,412","49,299","6,134",153,"78,755"
Bahrain,"3,720",8,"1,762","155,501","2,186",5,"91,387"
Afghanistan,"3,392",104,458,"13,777",87,3,354
Hungary,"3,111",373,759,"86,743",322,39,"8,979"
Thailand,"2,989",55,"2,761","227,860",43,0.8,"3,264"
Nigeria,"2,950",98,481,"19,512",14,0.5,95
Oman,"2,903",13,888,"40,459",568,3,"7,923"
Armenia,"2,782",40,"1,135","26,929",939,13,"9,088"
Ghana,"2,719",18,294,"129,461",88,0.6,"4,166"
Greece,"2,642",146,"1,374","83,750",253,14,"8,035"
Iraq,"2,431",102,"1,571","113,484",60,3,"2,821"
Uzbekistan,"2,217",10,"1,556","325,000",66,0.3,"9,710"
Croatia,"2,112",83,"1,560","39,973",514,20,"9,737"
Cameroon,"2,104",64,953,,79,2,
Azerbaijan,"2,060",26,"1,508","164,481",203,3,"16,222"
Bosnia and Herzegovina,"1,946",79,911,"35,296",593,24,"10,758"
Guinea,"1,811",10,498,,138,0.8,
Bolivia,"1,802",86,187,"7,651",154,7,655
Iceland,"1,799",10,"1,733","51,345","5,272",29,"150,465"
Bulgaria,"1,758",82,360,"51,768",253,12,"7,450"
Estonia,"1,713",55,264,"58,955","1,291",41,"44,443"
Cuba,"1,685",69,954,"57,711",149,6,"5,095"
North Macedonia,"1,526",86,"1,013","17,359",732,41,"8,332"
New Zealand,"1,488",21,"1,316","160,700",309,4,"33,325"
Ivory Coast,"1,464",18,701,"11,448",56,0.7,434
Slovenia,"1,448",99,246,"58,923",697,48,"28,343"
Slovakia,"1,429",25,762,"104,606",262,5,"19,160"
Lithuania,"1,428",48,718,"156,493",525,18,"57,486"
Senegal,"1,329",11,470,"17,787",79,0.7,"1,062"
Honduras,"1,270",93,122,"5,653",128,9,571
Djibouti,"1,120",2,745,"14,378","1,134",2,"14,553"
Hong Kong,"1,041",4,932,"154,989",139,0.5,"20,674"
Tunisia,"1,022",43,482,"25,165",86,4,"2,129"
Latvia,900,17,464,"68,627",477,9,"36,384"
Cyprus,878,15,296,"66,975",727,12,"55,472"
Kyrgyzstan,871,12,614,"59,490",134,2,"9,118"
Somalia,835,38,75,,53,2,
Albania,832,31,595,"9,531",289,11,"3,312"
DRC,797,35,92,,9,0.4,
Sudan,778,45,70,,18,1,
Sri Lanka,771,9,215,"29,378",36,0.4,"1,372"
Niger,763,38,543,"5,375",32,2,222
