Country	Total_cases	New_cases	Total_deaths	New_deaths	Total_recovered	Active_cases	Serious_critical	Cases/1m	Deaths/1m	Total_tests	Tests/1m
USA	1,238,052	+419	72,284	+13	200,669	965,099	16,179	3,740	218	7,727,938	23,347
Spain	250,561		25,613		154,718	70,230	2,254	5,359	548	1,932,455	41,332
Italy	213,013		29,315		85,231	98,467	1,427	3,523	485	2,246,666	37,158
UK	194,990		29,427		N/A	165,219	1,559	2,872	433	1,383,842	20,385
France	170,551		25,531		52,736	92,284	3,430	2,613	391	1,100,228	16,856
Germany	167,007		6,993		137,400	22,614	1,937	1,993	83	2,547,052	30,400
Russia	165,929	+10,559	1,537	+86	21,327	143,065	2,300	1,137	11	4,633,731	31,752
Turkey	129,491		3,520		73,285	52,686	1,338	1,535	42	1,204,421	14,281
Brazil	115,953	+1,238	7,958	+37	48,221	59,774	8,318	546	37	339,552	1,597
Iran	101,650	+1,680	6,418	+78	81,587	13,645	2,735	1,210	76	531,275	6,325
China	82,883	+2	4,633		77,911	339	26	58	3		
Canada	62,046		4,043		26,993	31,010	502	1,644	107	940,567	24,921
Peru	51,189		1,444		15,413	34,332	709	1,553	44	406,579	12,331
Belgium	50,781	+272	8,339	+323	12,731	29,711	646	4,382	720	474,176	40,914
India	49,436	+36	1,695	+2	14,183	33,558		36	1	1,276,781	925
Netherlands	41,087		5,168		N/A	35,669	644	2,398	302	235,909	13,768
Ecuador	31,881		1,569		3,433	26,879	159	1,807	89	80,171	4,544
Saudi Arabia	30,251		200		5,431	24,620	143	869	6	376,607	10,818
Switzerland	30,009		1,795		25,400	2,814	121	3,467	207	286,403	33,092
Mexico	26,025	+1,120	2,507	+236	16,810	6,708	378	202	19	100,041	776
Portugal	25,702		1,074		1,743	22,885	134	2,521	105	469,435	46,038
Sweden	23,216		2,854		4,074	16,288	435	2,299	283	148,500	14,704
Pakistan	22,550	+501	526	+12	6,217	15,807	111	102	2	232,582	1,053
Chile	22,016		275		10,710	11,031	470	1,152	14	222,095	11,618
Ireland	21,983		1,339		13,386	7,258	93	4,452	271	214,761	43,493
Singapore	20,198	+788	18		1,519	18,661	24	3,452	3	143,919	24,600
Belarus	19,255	+905	112	+5	4,388	14,755	92	2,038	12	220,045	23,287
Qatar	17,972	+830	12		2,070	15,890	72	6,238	4	112,963	39,209
Israel	16,314	+25	238		10,527	5,549	90	1,885	27	423,125	48,885
Austria	15,684	+34	608	+2	13,639	1,437	97	1,741	68	292,254	32,450
Japan	15,253		556		4,496	10,201	308	121	4	186,343	1,473
UAE	15,192		146		3,153	11,893	1	1,536	15	1,200,000	121,330
Poland	14,647	+216	723	+7	4,655	9,269	160	387	19	394,270	10,418
Romania	14,107	+270	858	+17	5,788	7,461	244	733	45	217,139	11,287
Ukraine	13,184	+487	327	+11	2,097	10,760	169	301	7	144,283	3,299
Indonesia	12,438	+367	895	+23	2,317	9,226		45	3	121,547	444
Bangladesh	11,719	+790	186	+3	1,403	10,130	1	71	1	99,646	605
S. Korea	10,806	+2	255	+1	9,333	1,218	55	211	5	643,095	12,543
Philippines	10,004	+320	658	+21	1,506	7,840	31	91	6	140,134	1,279
Denmark	9,938	+117	503		7,296	2,139	49	1,716	87	270,680	46,732
Serbia	9,677		200		1,723	7,754	51	1,108	23	111,278	12,736
Colombia	8,613		378		2,013	6,222	128	169	7	127,105	2,498
Dominican Republic	8,480		354		1,905	6,221	144	782	33	33,377	3,077
Norway	7,955		215		32	7,708	27	1,467	40	189,657	34,984
Czechia	7,899	+3	258	+1	4,017	3,624	59	738	24	278,519	26,008
South Africa	7,572		148		2,746	4,678	36	128	2	268,064	4,520
Panama	7,523	+136	210	+7	823	6,490	88	1,744	49	36,483	8,455
Egypt	7,201		452		1,730	5,019		70	4	90,000	879
Australia	6,875	+26	97	+1	5,984	794	27	270	4	688,656	27,006
Malaysia	6,428	+45	107	+1	4,702	1,619	22	199	3	222,150	6,864
Kuwait	5,804		40		2,032	3,732	90	1,359	9	196,397	45,988
Finland	5,573	+161	246		3,500	1,827	48	1,006	44	108,112	19,512
Morocco	5,382	+163	182	+1	1,969	3,231	1	146	5	52,100	1,412
Argentina	5,020		264		1,472	3,284	148	111	6	69,718	1,543
Algeria	4,838		470		2,067	2,301	22	110	11	6,500	148
Moldova	4,363		136		1,544	2,683	237	1,082	34	20,447	5,069
Kazakhstan	4,298	+93	29		1,299	2,970	31	229	2	336,480	17,920
Luxembourg	3,840		96		3,412	332	22	6,134	153	49,299	78,755
Bahrain	3,720		8		1,762	1,950	1	2,186	5	155,501	91,387
Afghanistan	3,392	+168	104	+9	458	2,830	7	87	3	13,777	354
Hungary	3,111	+46	373	+10	759	1,979	50	322	39	86,743	8,979
Thailand	2,989	+1	55	+1	2,761	173	61	43	0.8	227,860	3,264
Nigeria	2,950		98		481	2,371	4	14	0.5	19,512	95
Oman	2,903	+168	13		888	2,002	17	568	3	40,459	7,923
Armenia	2,782	+163	40		1,135	1,607	10	939	13	26,929	9,088
Ghana	2,719		18		294	2,407	4	88	0.6	129,461	4,166
Greece	2,642		146		1,374	1,122	35	253	14	83,750	8,035
Iraq	2,431		102		1,571	758		60	3	113,484	2,821
Uzbekistan	2,217	+10	10		1,556	651	8	66	0.3	325,000	9,710
Croatia	2,112		83		1,560	469	14	514	20	39,973	9,737
Cameroon	2,104		64		953	1,087	12	79	2		
Azerbaijan	2,060		26		1,508	526	18	203	3	164,481	16,222
Bosnia and Herzegovina	1,946		79		911	956	4	593	24	35,296	10,758
Guinea	1,811		10		498	1,303		138	0.8		
Bolivia	1,802	+121	86	+4	187	1,529	3	154	7	7,651	655
Iceland	1,799		10		1,733	56		5,272	29	51,345	150,465
Bulgaria	1,758	+54	82	+2	360	1,316	39	253	12	51,768	7,450
Estonia	1,713	+2	55		264	1,394	4	1,291	41	58,955	44,443
Cuba	1,685		69		954	662	8	149	6	57,711	5,095
North Macedonia	1,526		86		1,013	427	21	732	41	17,359	8,332
New Zealand	1,488	+2	21	+1	1,316	151	2	309	4	160,700	33,325
Ivory Coast	1,464		18		701	745		56	0.7	11,448	434
Slovenia	1,448	+3	99	+1	246	1,103	14	697	48	58,923	28,343
Slovakia	1,429	+8	25		762	642	4	262	5	104,606	19,160
Lithuania	1,428	+5	48	+2	718	662	17	525	18	156,493	57,486
Senegal	1,329		11		470	848	6	79	0.7	17,787	1,062
Honduras	1,270	+92	93	+10	122	1,055	10	128	9	5,653	571
Djibouti	1,120		2		745	373		1,134	2	14,378	14,553
Hong Kong	1,041		4		932	105	2	139	0.5	154,989	20,674
Tunisia	1,022		43		482	497	17	86	4	25,165	2,129
Latvia	900	+4	17		464	419	3	477	9	68,627	36,384
Cyprus	878		15		296	567	15	727	12	66,975	55,472
Kyrgyzstan	871	+28	12	+1	614	245	13	134	2	59,490	9,118
Somalia	835		38		75	722	2	53	2		
Albania	832	+12	31		595	206	7	289	11	9,531	3,312
DRC	797	+92	35	+1	92	670		9	0.4		
Sudan	778		45		70	663		18	1		
Sri Lanka	771		9		215	547	1	36	0.4	29,378	1,372
Niger	763		38		543	182		32	2	5,375	222
Guatemala	763	+33	19		79	665	5	43	1	7,200	402
Costa Rica	755		6		413	336	5	148	1	14,121	2,772
Andorra	751		46		514	191	16	9,720	595	1,673	21,653
Lebanon	750	+9	25		206	519	43	110	4	44,701	6,549
Mayotte	739		9		352	378	6	2,709	33	3,400	12,463
Diamond Princess	712		13		645	54	4				
Burkina Faso	688		48		548	92		33	2		
Uruguay	670		17		468	185	10	193	5	23,811	6,855
El Salvador	633	+46	14	+1	219	400	4	98	2	33,628	5,185
Mali	612		32		228	352		30	2	2,172	107
Georgia	610	+6	9		269	332	6	153	2	20,579	5,159
San Marino	589		41		92	456	5	17,359	1,208	2,538	74,799
Maldives	573		2		20	551	2	1,060	4	9,863	18,246
Channel Islands	545		40		406	99		3,135	230	5,342	30,725
Kenya	535		24		182	329	2	10	0.4	25,861	481
Malta	482		5		403	74	1	1,092	11	36,945	83,672
Tanzania	480		16		167	297	7	8	0.3		
Guinea-Bissau	475	+62	2	+1	24	449		241	1	1,500	762
Jamaica	473	+2	9		56	408		160	3	5,993	2,024
Jordan	471		9		375	87	5	46	0.9	91,666	8,984
Taiwan	439	+1	6		339	94		18	0.3	65,589	2,754
Paraguay	431		10		135	286	7	60	1	11,913	1,670
Réunion	425	+1			300	125	2	475		17,200	19,211
Gabon	397		6		93	298	1	178	3	724	325
Palestine	371		2		127	242		73	0.4	32,200	6,312
Venezuela	367	+6	10		164	193	1	13	0.4	490,851	17,262
Mauritius	332		10		319	3	3	261	8	18,959	14,908
Isle of Man	326		23		271	32	19	3,834	270	3,459	40,678
Montenegro	324		8		261	55	2	516	13	7,816	12,445
Equatorial Guinea	315		3		13	299		225	2	854	609
Tajikistan	293		5			288		31	0.5		
Vietnam	271				232	39	8	3		261,004	2,681
Rwanda	261				129	132		20		35,992	2,779
Congo	236		10		26	200		43	2		
Sierra Leone	199		11		43	145		25	1		
Faeroe Islands	187				185	2		3,827		8,241	168,655
Cabo Verde	186		2		37	147		335	4	791	1,423
Martinique	182	+1	14		83	85	5	485	37		
Sao Tome and Principe	174		3		4	167		794	14	175	799
Liberia	170		20		58	92		34	4		
Chad	170		17		43	110		10	1		
Ethiopia	162	+17	4		93	65		1	0.03	26,517	231
Myanmar	161		6		49	106		3	0.1	9,037	166
Guadeloupe	152		13	+1	104	35	4	380	32		
Madagascar	151				101	50	1	5		3,861	139
Gibraltar	144				133	11		4,274		2,931	86,997
Zambia	139	+1	4	+1	92	43	1	8	0.2	7,277	396
Brunei	139	+1	1		131	7	2	318	2	14,754	33,725
French Guiana	138	+5	1		111	26	2	462	3		
Togo	128		9		74	45		15	1	7,896	954
Cambodia	122				120	2	1	7		12,611	754
Eswatini	119		1		12	106		103	0.9	714	615
Trinidad and Tobago	116		8		103	5		83	6	2,080	1,486
Bermuda	115		7		54	54	4	1,847	112	3,374	54,176
Haiti	101		12		10	79		9	1	1,037	91
Aruba	101		2		82	17	4	946	19	1,780	16,672
Nepal	99	+17			22	77		3		64,492	2,213
Uganda	98				55	43		2		44,110	964
Benin	96		2		50	44		8	0.2		
Monaco	95		4		81	10	1	2,421	102		
