country,press_freedom_index_2020
Afghanistan,37.7
Angola,33.92
Albania,30.25
Andorra,23.23
UAE,42.69
Argentina,28.78
Armenia,28.6
Australia,20.21
Austria,15.78
Azerbaijan,58.48
Burundi,55.33
Belgium,12.57
Benin,35.11
Burkina Faso,23.47
Bangladesh,49.37
Bulgaria,35.06
Bahrain,60.13
Bosnia and Herzegovina,28.51
Belarus,49.75
Belize,27.5
Bolivia,35.37
Brazil,34.05
Brunei,49.65
Bhutan,28.9
Botswana,23.56
CAR,42.87
Canada,15.29
Switzerland,10.62
Chile,27.31
China,78.48
Ivory Coast,28.94
Cameroon,43.28
DRC,49.09
Congo,36.56
Colombia,42.66
Comoros,29.77
Cape Verde,20.15
Costa Rica,10.53
Cyprus North,29.79
Cuba,63.81
Cyprus,20.45
Czechia,23.57
Germany,12.16
Djibouti,76.73
Denmark,8.13
Dominican Republic,27.9
Algeria,45.52
Ecuador,32.62
Egypt,56.82
Eritrea,83.5
Spain,22.16
Estonia,12.61
Ethiopia,32.82
Finland,7.93
Fiji,27.41
France,22.92
Gabon,37.2
UK,22.93
Georgia,28.59
Ghana,22.26
Guinea,34.34
Gambia,30.62
Guinea-Bissau,32.06
Equatorial Guinea,56.38
Greece,28.8
Guatemala,35.74
Guyana,26.63
Hong Kong,30.01
Honduras,48.2
Croatia,28.51
Haiti,30.2
Hungary,30.84
Indonesia,36.82
India,45.33
Ireland,12.6
Iran,64.81
Iraq,55.37
Iceland,15.12
Israel,30.84
Italy,23.69
Jamaica,10.51
Jordan,42.08
Japan,28.86
Kazakhstan,54.11
Kenya,33.72
Kyrgyzstan,30.19
Cambodia,45.46
S. Korea,23.7
Kuwait,34.3
Laos,64.28
Lebanon,33.19
Liberia,32.25
Libya,55.77
Liechtenstein,19.52
Sri Lanka,41.94
Lesotho,30.45
Lithuania,21.19
Luxembourg,15.46
Latvia,18.56
Morocco,42.88
Moldova,31.16
Madagascar,27.68
Maldives,29.93
Mexico,45.45
Macedonia,31.28
Mali,34.12
Malta,30.16
Myanmar,44.77
Montenegro,33.83
Mongolia,29.61
Mozambique,33.79
Mauritania,32.54
Mauritius,28.0
Malawi,29.32
Malaysia,33.12
Namibia,19.25
Niger,28.25
Nigeria,35.63
Nicaragua,35.81
Netherlands,9.96
Norway,7.84
Nepal,35.1
New Zealand,10.69
Oman,43.42
Pakistan,45.52
Panama,29.78
Peru,30.94
Philippines,43.54
Papua New Guinea,23.93
Poland,28.65
Democratic People's Republic of Korea,85.82
Portugal,11.83
Paraguay,32.97
Palestine,44.09
Qatar,42.51
Romania,25.91
Russia,48.92
Rwanda,50.34
Saudi Arabia,62.14
Sudan,55.33
Senegal,23.99
Singapore,55.23
Sierra Leone,30.28
El Salvador,29.7
Somalia,55.45
Serbia,31.62
South Sudan,44.49
Suriname,17.5
Slovakia,22.67
Slovenia,22.64
Sweden,9.25
Swaziland,45.15
Seychelles,28.66
Syria,72.57
Chad,39.7
Togo,29.33
Thailand,44.94
Tajikistan,55.34
Turkmenistan,85.44
Timor-Leste,29.9
Tonga,27.27
Trinidad and Tobago,23.22
Tunisia,29.45
Turkey,50.02
Taiwan,23.76
Tanzania,40.25
Uganda,40.95
Ukraine,32.52
Uruguay,15.79
USA,23.85
Uzbekistan,53.07
Venezuela,45.66
Vietnam,74.71
Samoa,18.25
OECS,23.78
Kosovo,29.33
Yemen,58.25
South Africa,22.41
Zambia,37.0
Zimbabwe,40.95
