country,total_cases,total_deaths,total_recovered,bri_country,region,continent,press_freedom_index_2020
USA,1238052,72284,200669,non_member,Northern America,North America,23.85
Spain,250561,25613,154718,non_member,Southern Europe,Europe,22.16
Italy,213013,29315,85231,bri_member,Southern Europe,Europe,23.69
UK,194990,29427,0,non_member,Northern Europe,Europe,22.93
France,170551,25531,52736,non_member,Western Europe,Europe,22.92
Germany,167007,6993,137400,non_member,Western Europe,Europe,12.16
Russia,165929,1537,21327,bri_member,Eastern Europe,Europe,48.92
Turkey,129491,3520,73285,bri_member,Western Asian,Asian,50.02
Brazil,115953,7958,48221,non_member,South America,South America,34.05
Iran,101650,6418,81587,bri_member,Southern Asia,Asian,64.81
China,82883,4633,77911,bri_member,Eastern Asia,Asian,78.48
Canada,62046,4043,26993,non_member,Northern America,North America,15.29
Peru,51189,1444,15413,bri_member,South America,South America,30.94
Belgium,50781,8339,12731,non_member,Western Europe,Europe,12.57
India,49436,1695,14183,non_member,Southern Asia,Asian,45.33
Netherlands,41087,5168,0,non_member,Western Europe,Europe,9.96
Ecuador,31881,1569,3433,bri_member,South America,South America,32.62
Saudi Arabia,30251,200,5431,bri_member,Western Asian,Asian,62.14
Switzerland,30009,1795,25400,non_member,Western Europe,Europe,10.62
Mexico,26025,2507,16810,non_member,Central America,North America,45.45
Portugal,25702,1074,1743,bri_member,Southern Europe,Europe,11.83
Sweden,23216,2854,4074,non_member,Northern Europe,Europe,9.25
Pakistan,22550,526,6217,bri_member,Southern Asia,Asian,45.52
Chile,22016,275,10710,bri_member,South America,South America,27.31
Ireland,21983,1339,13386,non_member,Northern Europe,Europe,1.26
Singapore,20198,18,1519,bri_member,South-Eastern Asia,Asian,55.23
Belarus,19255,112,4388,bri_member,Eastern Europe,Europe,49.75
Qatar,17972,12,2070,bri_member,Western Asian,Asian,42.51
Israel,16314,238,10527,non_member,Western Asian,Asian,30.84
Austria,15684,608,13639,bri_member,Western Europe,Europe,15.78
Japan,15253,556,4496,non_member,Eastern Asia,Asian,28.86
UAE,15192,146,3153,bri_member,Western Asian,Asian,42.69
Poland,14647,723,4655,bri_member,Eastern Europe,Europe,28.65
Romania,14107,858,5788,bri_member,Eastern Europe,Europe,25.91
Ukraine,13184,327,2097,bri_member,Eastern Europe,Europe,32.52
Indonesia,12438,895,2317,bri_member,South-Eastern Asia,Asian,36.82
Bangladesh,11719,186,1403,bri_member,Southern Asia,Asian,49.37
South Korea,10806,255,9333,bri_member,Eastern Asia,Asian,2.37
Philippines,10004,658,1506,bri_member,South-Eastern Asia,Asian,43.54
Denmark,9938,503,7296,non_member,Northern Europe,Europe,8.13
Serbia,9677,200,1723,bri_member,Southern Europe,Europe,31.62
Colombia,8613,378,2013,non_member,South America,South America,42.66
Dominican Republic,8480,354,1905,non_member,Caribbean,North America,2.79
Norway,7955,215,32,non_member,Northern Europe,Europe,7.84
Czech Republic,7899,258,4017,bri_member,Eastern Europe,Europe,23.57
South Africa,7572,148,2746,bri_member,Southern Africa,Afica,22.41
Panama,7523,210,823,bri_member,Central America,North America,29.78
Egypt,7201,452,1730,bri_member,Northern Africa,Afica,56.82
Australia,6875,97,5984,non_member,Australia & New Zealand,Oceania,20.21
Malaysia,6428,107,4702,bri_member,South-Eastern Asia,Asian,33.12
Kuwait,5804,40,2032,bri_member,Western Asian,Asian,3.43
Finland,5573,246,3500,non_member,Northern Europe,Europe,7.93
Morocco,5382,182,1969,bri_member,Northern Africa,Afica,42.88
Argentina,5020,264,1472,non_member,South America,South America,28.78
Algeria,4838,470,2067,bri_member,Northern Africa,Afica,45.52
Moldova,4363,136,1544,bri_member,Eastern Europe,Europe,31.16
Kazakhstan,4298,29,1299,bri_member,Central Asia,Asian,54.11
Luxembourg,3840,96,3412,bri_member,Western Europe,Europe,15.46
Bahrain,3720,8,1762,bri_member,Western Asian,Asian,60.13
Afghanistan,3392,104,458,bri_member,Southern Asia,Asian,3.77
Hungary,3111,373,759,bri_member,Eastern Europe,Europe,30.84
Thailand,2989,55,2761,bri_member,South-Eastern Asia,Asian,44.94
Nigeria,2950,98,481,bri_member,Western Africa,Afica,35.63
Oman,2903,13,888,bri_member,Western Asian,Asian,43.42
Armenia,2782,40,1135,bri_member,Western Asian,Asian,2.86
Ghana,2719,18,294,bri_member,Western Africa,Afica,22.26
Greece,2642,146,1374,bri_member,Southern Europe,Europe,2.88
Iraq,2431,102,1571,bri_member,Western Asian,Asian,55.37
Uzbekistan,2217,10,1556,bri_member,Central Asia,Asian,53.07
Croatia,2112,83,1560,bri_member,Southern Europe,Europe,28.51
Cameroon,2104,64,953,bri_member,Middle Africa,Afica,43.28
Azerbaijan,2060,26,1508,bri_member,Western Asian,Asian,58.48
Bosnia and Herzegovina,1946,79,911,bri_member,Southern Europe,Europe,28.51
Guinea,1811,10,498,bri_member,Western Africa,Afica,34.34
Bolivia,1802,86,187,bri_member,South America,South America,35.37
Iceland,1799,10,1733,non_member,Northern Europe,Europe,15.12
Bulgaria,1758,82,360,bri_member,Eastern Europe,Europe,35.06
Estonia,1713,55,264,bri_member,Northern Europe,Europe,12.61
Cuba,1685,69,954,bri_member,Caribbean,North America,63.81
North Macedonia,1526,86,1013,bri_member,Southern Europe,Europe,
New Zealand,1488,21,1316,bri_member,Australia & New Zealand,Oceania,10.69
Ivory Coast,1464,18,701,bri_member,Western Africa,Afica,28.94
Slovenia,1448,99,246,bri_member,Southern Europe,Europe,22.64
Slovakia,1429,25,762,non_member,Eastern Europe,Europe,22.67
Lithuania,1428,48,718,bri_member,Northern Europe,Europe,21.19
Senegal,1329,11,470,bri_member,Western Africa,Afica,23.99
Honduras,1270,93,122,non_member,Central America,North America,4.82
Djibouti,1120,2,745,bri_member,Eastern Africa,Afica,76.73
Hong Kong,1041,4,932,non_member,Eastern Asia,Asian,30.01
Tunisia,1022,43,482,bri_member,Northern Africa,Afica,29.45
Latvia,900,17,464,bri_member,Northern Europe,Europe,18.56
Cyprus,878,15,296,bri_member,Western Asian,Asian,20.45
Kyrgyzstan,871,12,614,non_member,Central Asia,Asian,30.19
Somalia,835,38,75,bri_member,Eastern Africa,Afica,55.45
Albania,832,31,595,bri_member,Southern Europe,Europe,30.25
DRC,797,35,92,non_member,Middle Africa,Afica,49.09
Sudan,778,45,70,bri_member,Northern Africa,Afica,55.33
Sri Lanka,771,9,215,bri_member,Southern Asia,Asian,41.94
Niger,763,38,543,bri_member,Western Africa,Afica,28.25
Guatemala,763,19,79,non_member,Central America,North America,35.74
Costa Rica,755,6,413,bri_member,Central America,North America,10.53
Andorra,751,46,514,non_member,Southern Europe,Europe,23.23
Lebanon,750,25,206,bri_member,Western Asian,Asian,33.19
Mayotte,739,9,352,non_member,Eastern Africa,Afica,
Burkina Faso,688,48,548,non_member,Western Africa,Afica,23.47
Uruguay,670,17,468,bri_member,South America,South America,15.79
El Salvador,633,14,219,bri_member,Central America,North America,2.97
Mali,612,32,228,bri_member,Western Africa,Afica,34.12
Georgia,610,9,269,bri_member,Western Asian,Asian,28.59
San Marino,589,41,92,non_member,Southern Europe,Europe,
