country,region
India,Southern Asia
Pakistan,Southern Asia
Bangladesh,Southern Asia
Iran,Southern Asia
Afghanistan,Southern Asia
Nepal,Southern Asia
Sri Lanka,Southern Asia
Bhutan,Southern Asia
Maldives,Southern Asia
China,Eastern Asia
Japan,Eastern Asia
S. Korea,Eastern Asia
North Korea,Eastern Asia
Taiwan,Eastern Asia
Hong Kong,Eastern Asia
Mongolia,Eastern Asia
Macao,Eastern Asia
Indonesia,South-Eastern Asia
Philippines,South-Eastern Asia
Vietnam,South-Eastern Asia
Thailand,South-Eastern Asia
Myanmar,South-Eastern Asia
Malaysia,South-Eastern Asia
Cambodia,South-Eastern Asia
Laos,South-Eastern Asia
Singapore,South-Eastern Asia
Timor-Leste,South-Eastern Asia
Brunei,South-Eastern Asia
Turkey,Western Asian
Iraq,Western Asian
Saudi Arabia,Western Asian
Yemen,Western Asian
Syria,Western Asian
Azerbaijan,Western Asian
UAE,Western Asian
Israel,Western Asian
Jordan,Western Asian
Lebanon,Western Asian
Palestine,Western Asian
Oman,Western Asian
Kuwait,Western Asian
Georgia,Western Asian
Armenia,Western Asian
Qatar,Western Asian
Bahrain,Western Asian
Cyprus,Western Asian
Uzbekistan,Central Asia
Kazakhstan,Central Asia
Tajikistan,Central Asia
Kyrgyzstan,Central Asia
Turkmenistan,Central Asia
Germany,Western Europe
France,Western Europe
Netherlands,Western Europe
Belgium,Western Europe
Austria,Western Europe
Switzerland,Western Europe
Luxembourg,Western Europe
Monaco,Western Europe
Liechtenstein,Western Europe
Russia,Eastern Europe
Ukraine,Eastern Europe
Poland,Eastern Europe
Romania,Eastern Europe
Czechia,Eastern Europe
Hungary,Eastern Europe
Belarus,Eastern Europe
Bulgaria,Eastern Europe
Slovakia,Eastern Europe
Moldova,Eastern Europe
UK,Northern Europe
Sweden,Northern Europe
Denmark,Northern Europe
Finland,Northern Europe
Norway,Northern Europe
Ireland,Northern Europe
Lithuania,Northern Europe
Latvia,Northern Europe
Estonia,Northern Europe
Iceland,Northern Europe
Channel Islands,Northern Europe
Isle of Man,Northern Europe
Faeroe Islands,Northern Europe
Italy,Southern Europe
Spain,Southern Europe
Greece,Southern Europe
Portugal,Southern Europe
Serbia,Southern Europe
Croatia,Southern Europe
Bosnia and Herzegovina,Southern Europe
Albania,Southern Europe
North Macedonia,Southern Europe
Slovenia,Southern Europe
Montenegro,Southern Europe
Malta,Southern Europe
Andorra,Southern Europe
Gibraltar,Southern Europe
San Marino,Southern Europe
Vatican City,Southern Europe
Nigeria,Western Africa
Ghana,Western Africa
Ivory Coast,Western Africa
Niger,Western Africa
Burkina Faso,Western Africa
Mali,Western Africa
Senegal,Western Africa
Guinea,Western Africa
Benin,Western Africa
Togo,Western Africa
Sierra Leone,Western Africa
Liberia,Western Africa
Mauritania,Western Africa
Gambia,Western Africa
