country,total_cases,total_deaths,total_recovered,total_tests,cases/1m,deaths/1m,tests/1m,press_freedom_index_2020,region,continent,pfi_category
USA,1238052,72284.0,200669.0,7727938.0,3740.0,218.0,23347.0,23.85,Northern America,North America,upper_average
Spain,250561,25613.0,154718.0,1932455.0,5359.0,548.0,41332.0,22.16,Southern Europe,Europe,upper_average
Italy,213013,29315.0,85231.0,2246666.0,3523.0,485.0,37158.0,23.69,Southern Europe,Europe,upper_average
UK,194990,29427.0,,1383842.0,2872.0,433.0,20385.0,22.93,Northern Europe,Europe,upper_average
France,170551,25531.0,52736.0,1100228.0,2613.0,391.0,16856.0,22.92,Western Europe,Europe,upper_average
Germany,167007,6993.0,137400.0,2547052.0,1993.0,83.0,30400.0,12.16,Western Europe,Europe,free
Russia,165929,1537.0,21327.0,4633731.0,1137.0,11.0,31752.0,48.92,Eastern Europe,Europe,lower_average
Turkey,129491,3520.0,73285.0,1204421.0,1535.0,42.0,14281.0,50.02,Western Asia,Asia,lower_average
Brazil,115953,7958.0,48221.0,339552.0,546.0,37.0,1597.0,34.05,South America,South America,average
Iran,101650,6418.0,81587.0,531275.0,1210.0,76.0,6325.0,64.81,Southern Asia,Asia,not_free
China,82883,4633.0,77911.0,,58.0,3.0,,78.48,Eastern Asia,Asia,not_free
Canada,62046,4043.0,26993.0,940567.0,1644.0,107.0,24921.0,15.29,Northern America,North America,upper_average
Peru,51189,1444.0,15413.0,406579.0,1553.0,44.0,12331.0,30.94,South America,South America,average
Belgium,50781,8339.0,12731.0,474176.0,4382.0,720.0,40914.0,12.57,Western Europe,Europe,free
India,49436,1695.0,14183.0,1276781.0,36.0,1.0,925.0,45.33,Southern Asia,Asia,lower_average
Netherlands,41087,5168.0,,235909.0,2398.0,302.0,13768.0,9.96,Western Europe,Europe,free
Ecuador,31881,1569.0,3433.0,80171.0,1807.0,89.0,4544.0,32.62,South America,South America,average
Saudi Arabia,30251,200.0,5431.0,376607.0,869.0,6.0,10818.0,62.14,Western Asia,Asia,not_free
Switzerland,30009,1795.0,25400.0,286403.0,3467.0,207.0,33092.0,10.62,Western Europe,Europe,free
Mexico,26025,2507.0,16810.0,100041.0,202.0,19.0,776.0,45.45,Central America,North America,lower_average
Portugal,25702,1074.0,1743.0,469435.0,2521.0,105.0,46038.0,11.83,Southern Europe,Europe,free
Sweden,23216,2854.0,4074.0,148500.0,2299.0,283.0,14704.0,9.25,Northern Europe,Europe,free
Pakistan,22550,526.0,6217.0,232582.0,102.0,2.0,1053.0,45.52,Southern Asia,Asia,lower_average
Chile,22016,275.0,10710.0,222095.0,1152.0,14.0,11618.0,27.31,South America,South America,average
Ireland,21983,1339.0,13386.0,214761.0,4452.0,271.0,43493.0,12.6,Northern Europe,Europe,free
Singapore,20198,18.0,1519.0,143919.0,3452.0,3.0,24600.0,55.23,South-Eastern Asia,Asia,not_free
