country,region,continent,bri_country,bri_member_income_group,total_cases,total_deaths,total_recovered,total_tests,active_cases,serious_critical,cases_over_1_m,deaths_over_1_m,tests_over_1_m,life_expectancy_index_2019,happiness_index_2019,corruption_perception_index_2019,democracy_index_2019,economic_freedom_index_2019,press_freedom_index_2019
USA,Northern America,Northern America,non_member,,588465.0,23711.0,37326.0,2961818.0,527428.0,12772.0,1778.0,72.0,8948.0,79.11,68.92,69.0,79.6,76.8,74.31
Spain,Southern Europe,Europe,non_member,,172541.0,18056.0,67504.0,600000.0,86981.0,7371.0,3690.0,386.0,12833.0,83.99,63.54,62.0,82.89999999999998,65.7,78.01
Italy,Southern Europe,Europe,bri_member,High income,159516.0,20465.0,35435.0,1046910.0,103616.0,3260.0,2638.0,338.0,17315.0,84.01,62.23,53.0,75.19999999999997,62.2,75.02
France,Western Europe,Europe,non_member,,136779.0,14967.0,27718.0,333807.0,94094.0,6821.0,2095.0,229.0,5114.0,83.13,65.92,69.0,81.19999999999997,63.8,77.78999999999998
Germany,Western Europe,Europe,non_member,,130434.0,3220.0,68200.0,1317887.0,59014.0,4288.0,1557.0,38.0,15730.0,81.88,69.85000000000001,80.0,86.8,73.5,85.4
UK,Northern Europe,Europe,non_member,,93873.0,12107.0,2446.244680851064,382650.0,81422.0,1559.0,1383.0,178.0,5637.0,81.77,70.53999999999999,77.0,85.19999999999997,78.9,77.77
China,Eastern Asia,Asia,bri_member,Upper middle income,82249.0,3341.0,77738.0,unknown,1170.0,116.0,57.0,2.0,unknown,77.47,51.91,41.0,22.6,58.4,21.08
Iran,Southern Asia,Asia,bri_member,Upper middle income,74877.0,4683.0,48129.0,287359.0,22065.0,3691.0,891.0,56.0,3421.0,77.33,45.480000000000004,26.0,23.8,51.1,35.59
Turkey,Western Asian,Asia,bri_member,Upper middle income,61049.0,1296.0,3957.0,410556.0,55796.0,1786.0,724.0,15.0,4868.0,78.45,53.72999999999999,39.0,40.9,64.6,47.19
Belgium,Western Europe,Europe,non_member,,31119.0,4157.0,6868.0,102151.0,20094.0,1223.0,2685.0,359.0,8814.0,82.17,69.22999999999999,75.0,76.39999999999998,67.3,87.93
Netherlands,Western Europe,Europe,non_member,,27419.0,2945.0,250.0,134972.0,24224.0,1358.0,1600.0,172.0,7877.0,82.78,74.88,82.0,90.1,76.8,91.37
Switzerland,Western Europe,Europe,non_member,,25913.0,1162.0,13700.0,199000.0,11051.0,386.0,2994.0,134.0,22993.0,84.25,74.80000000000001,85.0,90.3,81.9,89.48
Canada,Northern America,Northern America,non_member,,25680.0,780.0,7756.0,437475.0,17144.0,557.0,680.0,21.0,11591.0,82.96,72.78,77.0,92.2,77.7,84.31
Brazil,South America,Latin America and Caribbean,non_member,,23955.0,1361.0,2979.0,62985.0,19615.0,296.0,113.0,6.0,296.0,76.57,63.0,35.0,68.60000000000001,51.9,67.21000000000001
Russia,Eastern Europe,Europe,bri_member,Upper middle income,21102.0,170.0,1694.0,1400000.0,19238.0,8.0,145.0,1.0,9593.0,72.99,56.48,28.0,31.1,58.9,49.69
Portugal,Southern Europe,Europe,bri_member,High income,17448.0,567.0,347.0,182707.0,16534.0,218.0,1711.0,56.0,17918.0,82.65,56.92999999999999,62.0,80.3,65.3,87.37
Austria,Western Europe,Europe,bri_member,High income,14159.0,384.0,7633.0,151796.0,6142.0,243.0,1572.0,43.0,16854.0,82.05,72.46000000000001,77.0,82.89999999999998,72.0,84.67
Israel,Western Asian,Asia,non_member,,11868.0,117.0,2000.0,117339.0,9751.0,181.0,1371.0,14.0,13557.0,83.49,71.38999999999999,60.0,78.60000000000002,72.8,69.2
Sweden,Northern Europe,Europe,non_member,,11445.0,1033.0,381.0,54700.0,10031.0,915.0,1133.0,102.0,5416.0,83.33,73.43,85.0,93.9,75.2,91.69
Ireland,Northern Europe,Europe,non_member,,10647.0,365.0,25.0,72000.0,10257.0,194.0,2156.0,74.0,14581.0,82.81,70.21,74.0,92.4,80.5,85.0
South Korea,Eastern Asia,Asia,bri_member,High income,10564.0,222.0,7534.0,527438.0,2808.0,55.0,206.0,4.0,10288.0,83.5,58.949999999999996,59.0,80.0,72.3,75.06
India,Southern Asia,Asia,non_member,,10541.0,358.0,1205.0,206212.0,8978.0,55.0,8.0,0.3,149.0,70.42,40.15,41.0,69.0,55.2,54.33
Peru,South America,Latin America and Caribbean,bri_member,Upper middle income,9784.0,216.0,2642.0,87116.0,6926.0,143.0,297.0,7.0,2642.0,77.44,56.97,36.0,66.0,67.8,69.78
Japan,Eastern Asia,Asia,non_member,,7645.0,143.0,799.0,78702.0,6703.0,135.0,60.0,1.0,622.0,85.03,58.86,73.0,79.9,72.1,70.64
Ecuador,South America,Latin America and Caribbean,bri_member,Upper middle income,7529.0,355.0,597.0,24553.0,6577.0,121.0,427.0,20.0,1392.0,77.71,60.279999999999994,38.0,63.3,46.9,68.12
Chile,South America,Latin America and Caribbean,bri_member,High income,7525.0,82.0,2367.0,85035.0,5076.0,387.0,394.0,4.0,4448.0,80.74,64.44,67.0,80.8,75.4,74.35
Poland,Eastern Europe,Europe,bri_member,High income,7049.0,251.0,618.0,148321.0,6180.0,160.0,186.0,7.0,3919.0,79.27,61.82000000000001,58.0,66.2,67.8,71.11
Romania,Eastern Europe,Europe,bri_member,Upper middle income,6879.0,351.0,1051.0,70097.0,5477.0,241.0,358.0,18.0,3644.0,76.5,60.7,44.0,64.9,68.6,74.33
Norway,Northern Europe,Europe,non_member,,6623.0,139.0,32.0,128569.0,6452.0,59.0,1222.0,26.0,23716.0,82.94,75.53999999999999,84.0,98.7,73.0,92.18
Denmark,Northern Europe,Europe,non_member,,6496.0,299.0,2515.0,73919.0,3682.0,100.0,1122.0,52.0,12762.0,81.4,76.0,87.0,92.2,76.7,90.13
Australia,Australia & New Zealand,Oceania,non_member,,6400.0,61.0,3598.0,366493.0,2741.0,80.0,251.0,2.0,14372.0,83.94,72.28,77.0,90.9,80.9,83.45
Czech Republic,Eastern Europe,Europe,bri_member,High income,6059.0,147.0,527.0,131542.0,5385.0,92.0,566.0,14.0,12283.0,79.85,68.52000000000001,56.0,76.9,73.7,75.11
Pakistan,Southern Asia,Asia,bri_member,Lower middle income,5837.0,96.0,1378.0,69928.0,4363.0,46.0,26.0,0.4,317.0,67.79,56.529999999999994,32.0,42.5,55.0,54.17
Saudi Arabia,Western Asian,Asia,bri_member,High income,5369.0,73.0,889.0,115585.0,4407.0,59.0,154.0,2.0,3320.0,75.69,63.75,53.0,19.3,60.7,34.120000000000005
Philippines,South-Eastern Asia,Asia,bri_member,Lower middle income,5223.0,335.0,295.0,38103.0,4593.0,1.0,48.0,3.0,348.0,71.66,56.31,34.0,66.39999999999999,63.8,56.09
Mexico,Central America,Latin America and Caribbean,non_member,,5014.0,332.0,1964.0,37395.0,2718.0,207.0,39.0,3.0,290.0,75.41,65.95,29.0,60.9,64.7,53.22
Malaysia,South-Eastern Asia,Asia,bri_member,Upper middle income,4987.0,82.0,2478.0,81730.0,2427.0,60.0,154.0,3.0,2525.0,76.65,53.38999999999999,53.0,71.6,74.0,63.26
Indonesia,South-Eastern Asia,Asia,bri_member,Lower middle income,4839.0,459.0,426.0,31628.0,3954.0,60.0,18.0,2.0,116.0,72.32,51.92,40.0,64.80000000000001,65.8,63.23
UAE,Western Asian,Asia,bri_member,High income,4521.0,25.0,852.0,648195.0,3644.0,1.0,457.0,3.0,65538.0,78.46,68.25,71.0,27.6,77.1,56.37
Serbia,Southern Europe,Europe,bri_member,Upper middle income,4465.0,94.0,400.0,23398.0,3971.0,131.0,511.0,11.0,2678.0,76.47,56.03,39.0,64.1,63.9,68.82
Panama,Central America,Latin America and Caribbean,bri_member,High income,3472.0,94.0,61.0,15567.0,3317.0,106.0,805.0,22.0,3608.0,79.1,63.21000000000001,36.0,70.5,67.2,70.22
Qatar,Western Asian,Asia,bri_member,High income,3428.0,7.0,373.0,52622.0,3048.0,37.0,1190.0,2.0,18265.0,80.73,63.739999999999995,62.0,31.9,72.6,57.49
