country,total_cases,total_deaths,total_recovered,press_freedom_index_2020,region,continent
USA,1238052,72284,200669,23.85,Northern America,North America
Spain,250561,25613,154718,22.16,Southern Europe,Europe
Italy,213013,29315,85231,23.69,Southern Europe,Europe
UK,194990,29427,0,22.93,Northern Europe,Europe
France,170551,25531,52736,22.92,Western Europe,Europe
Germany,167007,6993,137400,12.16,Western Europe,Europe
Russia,165929,1537,21327,48.92,Eastern Europe,Europe
Turkey,129491,3520,73285,50.02,Western Asian,Asian
Brazil,115953,7958,48221,34.05,South America,South America
Iran,101650,6418,81587,64.81,Southern Asia,Asian
China,82883,4633,77911,78.48,Eastern Asia,Asian
Canada,62046,4043,26993,15.29,Northern America,North America
Peru,51189,1444,15413,30.94,South America,South America
Belgium,50781,8339,12731,12.57,Western Europe,Europe
India,49436,1695,14183,45.33,Southern Asia,Asian
Netherlands,41087,5168,0,9.96,Western Europe,Europe
Ecuador,31881,1569,3433,32.62,South America,South America
Saudi Arabia,30251,200,5431,62.14,Western Asian,Asian
Switzerland,30009,1795,25400,10.62,Western Europe,Europe
Mexico,26025,2507,16810,45.45,Central America,North America
Portugal,25702,1074,1743,11.83,Southern Europe,Europe
Sweden,23216,2854,4074,9.25,Northern Europe,Europe
Pakistan,22550,526,6217,45.52,Southern Asia,Asian
Chile,22016,275,10710,27.31,South America,South America
Ireland,21983,1339,13386,12.6,Northern Europe,Europe
Singapore,20198,18,1519,55.23,South-Eastern Asia,Asian
Belarus,19255,112,4388,49.75,Eastern Europe,Europe
Qatar,17972,12,2070,42.51,Western Asian,Asian
Israel,16314,238,10527,30.84,Western Asian,Asian
Austria,15684,608,13639,15.78,Western Europe,Europe
Japan,15253,556,4496,28.86,Eastern Asia,Asian
UAE,15192,146,3153,42.69,Western Asian,Asian
Poland,14647,723,4655,28.65,Eastern Europe,Europe
Romania,14107,858,5788,25.91,Eastern Europe,Europe
Ukraine,13184,327,2097,32.52,Eastern Europe,Europe
Indonesia,12438,895,2317,36.82,South-Eastern Asia,Asian
Bangladesh,11719,186,1403,49.37,Southern Asia,Asian
South Korea,10806,255,9333,23.7,Eastern Asia,Asian
Philippines,10004,658,1506,43.54,South-Eastern Asia,Asian
Denmark,9938,503,7296,8.13,Northern Europe,Europe
Serbia,9677,200,1723,31.62,Southern Europe,Europe
Colombia,8613,378,2013,42.66,South America,South America
Dominican Republic,8480,354,1905,27.9,Caribbean,North America
Norway,7955,215,32,7.84,Northern Europe,Europe
Czech Republic,7899,258,4017,23.57,Eastern Europe,Europe
South Africa,7572,148,2746,22.41,Southern Africa,Africa
Panama,7523,210,823,29.78,Central America,North America
Egypt,7201,452,1730,56.82,Northern Africa,Africa
Australia,6875,97,5984,20.21,Australia & New Zealand,Oceania
Malaysia,6428,107,4702,33.12,South-Eastern Asia,Asian
Kuwait,5804,40,2032,34.3,Western Asian,Asian
Finland,5573,246,3500,7.93,Northern Europe,Europe
Morocco,5382,182,1969,42.88,Northern Africa,Africa
Argentina,5020,264,1472,28.78,South America,South America
Algeria,4838,470,2067,45.52,Northern Africa,Africa
Moldova,4363,136,1544,31.16,Eastern Europe,Europe
Kazakhstan,4298,29,1299,54.11,Central Asia,Asian
Luxembourg,3840,96,3412,15.46,Western Europe,Europe
Bahrain,3720,8,1762,60.13,Western Asian,Asian
Afghanistan,3392,104,458,37.7,Southern Asia,Asian
Hungary,3111,373,759,30.84,Eastern Europe,Europe
Thailand,2989,55,2761,44.94,South-Eastern Asia,Asian
Nigeria,2950,98,481,35.63,Western Africa,Africa
Oman,2903,13,888,43.42,Western Asian,Asian
Armenia,2782,40,1135,28.6,Western Asian,Asian
Ghana,2719,18,294,22.26,Western Africa,Africa
Greece,2642,146,1374,28.8,Southern Europe,Europe
Iraq,2431,102,1571,55.37,Western Asian,Asian
Uzbekistan,2217,10,1556,53.07,Central Asia,Asian
Croatia,2112,83,1560,28.51,Southern Europe,Europe
Cameroon,2104,64,953,43.28,Middle Africa,Africa
Azerbaijan,2060,26,1508,58.48,Western Asian,Asian
Bosnia and Herzegovina,1946,79,911,28.51,Southern Europe,Europe
Guinea,1811,10,498,34.34,Western Africa,Africa
Bolivia,1802,86,187,35.37,South America,South America
Iceland,1799,10,1733,15.12,Northern Europe,Europe
Bulgaria,1758,82,360,35.06,Eastern Europe,Europe
Estonia,1713,55,264,12.61,Northern Europe,Europe
Cuba,1685,69,954,63.81,Caribbean,North America
North Macedonia,1526,86,1013,,Southern Europe,Europe
New Zealand,1488,21,1316,10.69,Australia & New Zealand,Oceania
Ivory Coast,1464,18,701,28.94,Western Africa,Africa
Slovenia,1448,99,246,22.64,Southern Europe,Europe
Slovakia,1429,25,762,22.67,Eastern Europe,Europe
Lithuania,1428,48,718,21.19,Northern Europe,Europe
Senegal,1329,11,470,23.99,Western Africa,Africa
Honduras,1270,93,122,48.2,Central America,North America
Djibouti,1120,2,745,76.73,Eastern Africa,Africa
