country,total_cases,total_deaths,total_recovered,total_tests,cases/1m,deaths/1m,tests/1m,press_freedom_index_2020,region,continent
USA,1238052,72284,200669,7727938,3740,218,23347,23.85,Northern America,North America
Spain,250561,25613,154718,1932455,5359,548,41332,22.16,Southern Europe,Europe
Italy,213013,29315,85231,2246666,3523,485,37158,23.69,Southern Europe,Europe
UK,194990,29427,,1383842,2872,433,20385,22.93,Northern Europe,Europe
France,170551,25531,52736,1100228,2613,391,16856,22.92,Western Europe,Europe
Germany,167007,6993,137400,2547052,1993,83,30400,12.16,Western Europe,Europe
Russia,165929,1537,21327,4633731,1137,11,31752,48.92,Eastern Europe,Europe
Turkey,129491,3520,73285,1204421,1535,42,14281,50.02,Western Asian,Asian
Brazil,115953,7958,48221,339552,546,37,1597,34.05,South America,South America
Iran,101650,6418,81587,531275,1210,76,6325,64.81,Southern Asia,Asian
China,82883,4633,77911,,58,3,,78.48,Eastern Asia,Asian
Canada,62046,4043,26993,940567,1644,107,24921,15.29,Northern America,North America
Peru,51189,1444,15413,406579,1553,44,12331,30.94,South America,South America
Belgium,50781,8339,12731,474176,4382,720,40914,12.57,Western Europe,Europe
India,49436,1695,14183,1276781,36,1,925,45.33,Southern Asia,Asian
Netherlands,41087,5168,,235909,2398,302,13768,9.96,Western Europe,Europe
Ecuador,31881,1569,3433,80171,1807,89,4544,32.62,South America,South America
Saudi Arabia,30251,200,5431,376607,869,6,10818,62.14,Western Asian,Asian
Switzerland,30009,1795,25400,286403,3467,207,33092,10.62,Western Europe,Europe
Mexico,26025,2507,16810,100041,202,19,776,45.45,Central America,North America
Portugal,25702,1074,1743,469435,2521,105,46038,11.83,Southern Europe,Europe
Sweden,23216,2854,4074,148500,2299,283,14704,9.25,Northern Europe,Europe
Pakistan,22550,526,6217,232582,102,2,1053,45.52,Southern Asia,Asian
Chile,22016,275,10710,222095,1152,14,11618,27.31,South America,South America
Ireland,21983,1339,13386,214761,4452,271,43493,12.6,Northern Europe,Europe
Singapore,20198,18,1519,143919,3452,3,24600,55.23,South-Eastern Asia,Asian
Belarus,19255,112,4388,220045,2038,12,23287,49.75,Eastern Europe,Europe
Qatar,17972,12,2070,112963,6238,4,39209,42.51,Western Asian,Asian
Israel,16314,238,10527,423125,1885,27,48885,30.84,Western Asian,Asian
Austria,15684,608,13639,292254,1741,68,32450,15.78,Western Europe,Europe
Japan,15253,556,4496,186343,121,4,1473,28.86,Eastern Asia,Asian
UAE,15192,146,3153,1200000,1536,15,121330,42.69,Western Asian,Asian
Poland,14647,723,4655,394270,387,19,10418,28.65,Eastern Europe,Europe
Romania,14107,858,5788,217139,733,45,11287,25.91,Eastern Europe,Europe
Ukraine,13184,327,2097,144283,301,7,3299,32.52,Eastern Europe,Europe
Indonesia,12438,895,2317,121547,45,3,444,36.82,South-Eastern Asia,Asian
Bangladesh,11719,186,1403,99646,71,1,605,49.37,Southern Asia,Asian
S. Korea,10806,255,9333,643095,211,5,12543,23.7,Eastern Asia,Asian
Philippines,10004,658,1506,140134,91,6,1279,43.54,South-Eastern Asia,Asian
Denmark,9938,503,7296,270680,1716,87,46732,8.13,Northern Europe,Europe
Serbia,9677,200,1723,111278,1108,23,12736,31.62,Southern Europe,Europe
Colombia,8613,378,2013,127105,169,7,2498,42.66,South America,South America
Dominican Republic,8480,354,1905,33377,782,33,3077,27.9,Caribbean,North America
Norway,7955,215,32,189657,1467,40,34984,7.84,Northern Europe,Europe
Czechia,7899,258,4017,278519,738,24,26008,23.57,Eastern Europe,Europe
South Africa,7572,148,2746,268064,128,2,4520,22.41,Southern Africa,Africa
Panama,7523,210,823,36483,1744,49,8455,29.78,Central America,North America
Egypt,7201,452,1730,90000,70,4,879,56.82,Northern Africa,Africa
Australia,6875,97,5984,688656,270,4,27006,20.21,Australia & New Zealand,Oceania
Malaysia,6428,107,4702,222150,199,3,6864,33.12,South-Eastern Asia,Asian
Kuwait,5804,40,2032,196397,1359,9,45988,34.3,Western Asian,Asian
Finland,5573,246,3500,108112,1006,44,19512,7.93,Northern Europe,Europe
Morocco,5382,182,1969,52100,146,5,1412,42.88,Northern Africa,Africa
Argentina,5020,264,1472,69718,111,6,1543,28.78,South America,South America
Algeria,4838,470,2067,6500,110,11,148,45.52,Northern Africa,Africa
Moldova,4363,136,1544,20447,1082,34,5069,31.16,Eastern Europe,Europe
Kazakhstan,4298,29,1299,336480,229,2,17920,54.11,Central Asia,Asian
Luxembourg,3840,96,3412,49299,6134,153,78755,15.46,Western Europe,Europe
Bahrain,3720,8,1762,155501,2186,5,91387,60.13,Western Asian,Asian
Afghanistan,3392,104,458,13777,87,3,354,37.7,Southern Asia,Asian
Hungary,3111,373,759,86743,322,39,8979,30.84,Eastern Europe,Europe
Thailand,2989,55,2761,227860,43,0.8,3264,44.94,South-Eastern Asia,Asian
Nigeria,2950,98,481,19512,14,0.5,95,35.63,Western Africa,Africa
Oman,2903,13,888,40459,568,3,7923,43.42,Western Asian,Asian
